country,year,GDP_per_capita,GDP_growth,Primary_enrollment,Secondary_enrollment,Tertiary_enrollment,Education_expenditure,Population,YoY_GDP_per_capita,YoY_Primary_enrollment,YoY_Secondary_enrollment,YoY_Tertiary_enrollment
EGY,2014,3235.66246235257,2.91591187985748,94.0423736572266,75.6678085327148,29.1688709259033,4.25138568878174,97528654.0,0.6,-1.59,-0.2,2.27
EGY,2015,3306.98159414141,4.37201907790141,,,32.8131103515625,3.93084812164307,99597342.0,2.2,0.0,0.0,12.49
EGY,2016,3381.22246306207,4.34664345555447,95.4257583618164,78.5734024047852,31.9304790496826,,101644589.0,2.24,1.47,3.84,-2.69
EGY,2017,3452.90961245539,4.18122099994778,95.7913284301758,79.361198425293,33.1621017456055,,103696057.0,2.12,0.38,1.0,3.86
EGY,2018,3568.63966286161,5.3311086189448,96.5830383300781,79.9868392944336,36.7171516418457,,105682094.0,3.35,0.83,0.79,10.72
EGY,2019,3701.2446345188,5.55209307156956,97.8171081542969,81.1705169677734,,,107553158.0,3.72,1.28,1.48,0.0
EGY,2020,3770.86947867421,3.55016483786838,98.8963928222656,83.1626281738281,40.012939453125,,109315124.0,1.88,1.1,2.45,8.98
EGY,2021,3837.31992324447,3.29064601202211,99.7501068115234,85.5924224853516,,,110957008.0,1.76,0.86,2.92,0.0
EGY,2022,4029.78295457978,6.58784560886967,91.5901794433594,,37.8184509277344,,112618250.0,5.02,-8.18,0.0,-5.48
ETH,2000,257.412698845663,6.07321747957957,51.7464408874512,13.9824304580688,1.16600000858307,3.88614988327026,67411494.0,,,,
ETH,2001,270.451435406907,8.30130632052328,57.1310386657715,16.7692108154297,1.46114003658295,3.7002899646759,69487762.0,5.07,10.41,19.93,25.31
ETH,2002,266.316614456911,1.51472570631101,60.1207695007324,18.5895805358887,1.65718996524811,3.63245010375977,71635517.0,-1.53,5.23,10.86,13.42
ETH,2003,252.806674812797,-2.16135972205798,61.6243515014648,19.0287704467773,2.35127997398376,,73832663.0,-5.07,2.5,2.36,41.88
ETH,2004,278.648105685268,13.5726031368695,64.8550796508789,21.0001201629639,2.65906000137329,,76077206.0,10.22,5.24,10.36,13.09
ETH,2005,302.475022727211,11.8187659466494,76.4471206665039,23.440860748291,2.85401010513306,,78367470.0,8.55,17.87,11.62,7.33
ETH,2006,325.543392093065,10.834727065877,81.3970489501953,27.2698707580566,,5.49096012115479,80703490.0,7.63,6.47,16.33,0.0
ETH,2007,352.360703147014,11.4561670000236,87.8594970703125,30.3098297119141,,5.45112991333008,83103217.0,8.24,7.94,11.15,0.0
ETH,2008,379.238310448137,10.7885216853725,94.0426864624023,31.6366291046143,3.42407989501953,5.40819978713989,85543668.0,7.63,7.04,4.38,19.97
ETH,2009,401.068729929541,8.80255319782566,92.9065322875977,32.1730117797852,4.96265983581543,4.42207002639771,88007636.0,5.76,-1.21,1.7,44.93
ETH,2010,438.78661648794,12.5505383459308,91.0354149300925,33.7502288818359,6.83386993408203,4.49659013748169,90538514.0,9.4,-2.01,4.9,37.71
ETH,2011,474.159034335211,11.1782962271641,93.3071517944336,35.3596687316895,7.17573022842407,5.48576021194458,93149970.0,8.06,2.5,4.77,5.0
ETH,2012,500.919355284732,8.64781163337416,92.6786109225543,37.2147407531738,7.59986019134521,5.56678009033203,95798767.0,5.64,-0.67,5.25,5.91
ETH,2013,539.072451759433,10.5822700482672,,,,4.82446432113647,98438751.0,7.62,0.0,0.0,0.0
ETH,2014,578.632922927813,10.2574929610051,96.1562440354136,,7.73872995376587,4.79265069961548,101115610.0,7.34,3.75,0.0,1.83
ETH,2015,621.845673808133,10.3924630202334,97.1190070122981,34.8671396485425,,5.15336132049561,103867135.0,7.47,1.0,-6.31,0.0
ETH,2016,662.32729587522,9.43348265784402,,,,5.06151390075684,106718162.0,6.51,0.0,0.0,0.0
ETH,2017,706.164227289541,9.56418964295607,104.203673708896,,,5.49905061721802,109666481.0,6.62,7.29,0.0,0.0
ETH,2018,734.227726626757,6.81614779681703,,,,5.22011184692383,112664152.0,3.97,0.0,0.0,0.0
ETH,2019,774.512169391667,8.3640856990789,,,,4.48086929321289,115737383.0,5.49,0.0,0.0,0.0
ETH,2020,799.47559497498,6.05953088643369,114.557322752629,,,4.09056520462036,118917671.0,3.22,9.94,0.0,0.0
ETH,2021,822.305881002002,5.64153071734657,102.679576994027,,,4.06524896621704,122138588.0,2.86,-10.37,0.0,0.0
ETH,2022,843.643330424579,5.32117628383672,85.5312668839719,,,3.73649501800537,125384287.0,2.59,-16.7,0.0,0.0
IDN,2000,1828.10265975051,4.9200677470169,110.784622192383,56.1876792907715,14.9254198074341,,216077790.0,,,,
IDN,2001,1868.59172314131,3.64346644721492,111.364921569824,56.8619689941406,14.2340402603149,2.46003007888794,219097902.0,2.21,0.52,1.2,-4.63
IDN,2002,1926.37435875198,4.49947539085764,112.076751708984,58.3996086120605,14.8015203475952,2.64568996429443,222088495.0,3.09,0.64,2.7,3.99
IDN,2003,1991.91820513763,4.78036912167654,112.111717224121,61.611270904541,15.9035701751709,3.21799993515015,225048008.0,3.4,0.03,5.5,7.45
IDN,2004,2065.70617478401,5.03087394501685,111.60619354248,63.9592704772949,16.3212699890137,2.74847006797791,227926649.0,3.7,-0.45,3.81,2.63
IDN,2005,2155.44780167098,5.69257130383384,110.959060668945,62.6105499267578,16.8704605102539,2.8728199005127,230871650.0,4.34,-0.58,-2.11,3.36
IDN,2006,2244.08022270233,5.50095178520348,109.592582702637,65.7089309692383,16.9588603973389,,233951652.0,4.11,-1.23,4.95,0.52
IDN,2007,2355.15285661899,6.34502222667214,112.228553771973,73.1319808959961,17.7960300445557,3.04425001144409,237062337.0,4.95,2.41,11.3,4.94
IDN,2008,2464.60193427292,6.01370360009123,110.809883117676,71.4267272949219,20.8093490600586,2.90190005302429,240157903.0,4.65,-1.26,-2.33,16.93
IDN,2009,2546.21969717085,4.62887118256153,112.17903137207,75.8255615234375,23.0492897033691,3.52513003349304,243220028.0,3.31,1.24,6.16,10.76
IDN,2010,2670.81290999304,6.22385418062366,113.969428127169,76.9965133666992,23.8078193664551,2.81227993965149,246305322.0,4.89,1.6,1.54,3.29
IDN,2011,2799.62468800564,6.16978420771008,115.483630556977,79.5367202758789,25.4599514007568,3.18944001197815,249470032.0,4.82,1.33,3.3,6.94
IDN,2012,2930.51844543024,6.03005065305615,115.963613246812,81.5296478271484,29.5658359527588,3.40748000144958,252698525.0,4.68,0.42,2.51,16.13
IDN,2013,3055.2424601765,5.5572636889101,112.63727075046,83.2369317653316,30.4385662078857,3.35904002189636,255852467.0,4.26,-2.87,2.09,2.95
IDN,2014,3170.72103023033,5.006668425755,110.910578364806,84.6881516846731,30.5253391265869,3.28800988197327,258877399.0,3.78,-1.53,1.74,0.29
IDN,2015,3288.22269737572,4.87632230022123,109.361980599771,88.7822877060453,33.0326499938965,3.58360004425049,261799249.0,3.71,-1.4,4.83,8.21
IDN,2016,3416.81005183476,5.03306918280177,107.16207384874,88.5644920884794,35.4757537841797,1.21023452281952,264627418.0,3.91,-2.01,-0.25,7.4
IDN,2017,3553.51999275326,5.06978590134916,105.634232183211,91.5816468000954,36.633861541748,1.05324387550354,267346658.0,4.0,-1.43,3.41,3.26
IDN,2018,3701.32155475457,5.17429153955024,104.648287253309,93.4309363897896,36.7954559326172,0.99443644285202,269951846.0,4.16,-0.93,2.02,0.44
IDN,2019,3850.90321753072,5.01928768046282,102.597018482181,95.7836905704493,37.925968170166,0.964399099349976,272489381.0,4.04,-1.96,2.52,3.07
IDN,2020,3739.44906576846,-2.06551182934165,102.437991856992,98.0443013603661,38.6503868103027,1.01593220233917,274814866.0,-2.89,-0.16,2.36,1.91
IDN,2021,3850.68877267995,3.70288562827751,101.990710635544,99.0968322828421,41.0022087097168,1.03221750259399,276758053.0,2.97,-0.44,1.07,6.08
IDN,2022,4024.92074265014,5.30741934775764,100.64499288828,98.9717306316633,42.6331672668457,0.863943338394165,278830529.0,4.52,-1.32,-0.13,3.98
IND,2000,756.704109527449,3.84099115659129,93.9977722167969,45.4210510253906,9.65246963500977,4.32479000091553,1057922733.0,,,,
IND,2001,778.507377528365,4.82396626555771,98.9954681396484,48.0781288146973,10.3922300338745,,1077898575.0,2.88,5.32,5.85,7.66
IND,2002,793.615912906381,3.80397532112175,98.0657272338867,49.2973213195801,10.7845497131348,,1097600380.0,1.94,-0.94,2.54,3.78
IND,2003,841.278894571674,7.8603814759073,106.22322845459,51.9028091430664,11.2758102416992,3.61340999603271,1116803006.0,6.01,8.32,5.29,4.56
IND,2004,892.596614581612,7.92293661199932,,53.6583099365234,11.6037998199463,3.35254001617432,1135991513.0,6.1,0.0,3.38,2.91
IND,2005,947.732565646672,7.92343062148318,,56.3279800415039,11.3199701309204,3.18875002861023,1154676322.0,6.18,0.0,4.98,-2.45
IND,2006,1008.23275343783,8.06073257166651,,57.2240791320801,12.1438102722168,3.14284992218018,1172878890.0,6.38,0.0,1.59,7.28
IND,2007,1069.24696813025,7.6608150670107,114.114318847656,59.5899810791016,13.8339099884033,,1190676021.0,6.05,7.43,4.13,13.92
IND,2008,1086.50605251513,3.08669805921981,114.626556396484,62.6794281005859,15.8141202926636,,1207930964.0,1.61,0.45,5.18,14.31
IND,2009,1155.10163274172,7.86188883286074,113.051681518555,61.8002281188965,16.8205890655518,3.27824997901917,1225524753.0,6.31,-1.37,-1.4,6.36
IND,2010,1235.15939133951,8.49758470221235,112.527946472168,65.3513488769531,18.6971797943115,3.377690076828,1243481564.0,6.93,-0.46,5.75,11.16
IND,2011,1281.61054354933,5.24131619937695,109.70790287368,68.5910110473633,23.8253688812256,3.79618000984192,1261224954.0,3.76,-2.51,4.96,27.43
IND,2012,1333.09626557668,5.45638755166587,111.775573730469,70.3243865966797,24.9402103424072,4.08479833602905,1278674502.0,4.02,1.88,2.53,4.68
IND,2013,1399.4537980287,6.38610640094825,113.416778564453,69.9568023681641,24.3906383514404,3.84467005729675,1295829511.0,4.98,1.47,-0.52,-2.2
IND,2014,1484.31640682913,7.41022760508854,111.584541320801,75.3183288574219,25.991325378418,3.89878034591675,1312277191.0,6.06,-1.62,7.66,6.56
IND,2015,1583.99815907985,7.99625378571471,112.937843322754,74.9483337402344,27.2845668792725,4.11499166488647,1328024498.0,6.72,1.21,-0.49,4.98
IND,2016,1694.46534973825,8.25630550179086,119.512832641602,76.119987487793,27.3043575286865,4.256516456604,1343944296.0,6.97,5.82,1.56,0.07
IND,2017,1788.69770318446,6.79538341897911,117.868171691895,74.5972671508789,27.9090518951416,4.30639696121216,1359657400.0,5.56,-1.38,-2.0,2.21
IND,2018,1883.35772705062,6.45385134497769,101.097955965022,75.7847900390625,28.5316867828369,4.3769326210022,1374659064.0,5.29,-14.23,1.59,2.23
IND,2019,1936.03067741067,3.87143694070356,99.5039236144817,75.5255813598633,29.0233592987061,3.89732360839844,1389030312.0,2.8,-1.58,-0.34,1.72
IND,2020,1806.50110583878,-5.77772470686801,101.291253449929,77.6271551845716,29.8196392059326,4.04014158248901,1402617695.0,-6.69,1.8,2.78,2.74
IND,2021,1965.30943437506,9.68959249192875,102.316123319201,80.6246396929286,31.5741767883301,4.63514137268066,1414203896.0,8.79,1.01,3.86,5.88
IND,2022,2086.07688562779,6.9870393257555,111.084455603874,81.1778611796872,32.6703071594238,4.12072849273682,1425423212.0,6.14,8.57,0.69,3.47
JPN,2000,31430.6311303282,2.76464755143648,,,,3.46011996269226,126843000.0,,,,
JPN,2001,31476.052066579,0.386103426145752,,,,3.40082001686096,127149000.0,0.14,,,
JPN,2002,31416.1241772435,0.0419624993125609,,,,3.40898990631104,127445000.0,-0.19,,,
JPN,2003,31830.2175849262,1.53512549928013,,,,3.46662998199463,127718000.0,1.32,,,
JPN,2004,32515.1158024317,2.1861156944216,,,,3.42611002922058,127761000.0,2.15,,,
JPN,2005,33098.5474664872,1.80390087227372,,,,3.31493997573853,127773000.0,1.79,,,
JPN,2006,33531.5185630775,1.37235012762038,,,,3.27667999267578,127854000.0,1.31,,,
JPN,2007,33990.0360341685,1.48396941163492,,,,3.27934002876282,128001000.0,1.37,,,
JPN,2008,33557.6454041531,-1.22428900072828,,,,3.27241992950439,128063000.0,-1.27,,,
JPN,2009,31651.0837739853,-5.69323635882266,,,,3.5559778213501,128047000.0,-5.68,,,
JPN,2010,32942.2020783725,4.09791791930137,,,,3.59951996803284,128070000.0,4.08,,,
JPN,2011,33011.13423011,0.0238095237748297,,,,3.60527992248535,127833000.0,0.21,,,
JPN,2012,33518.444936892,1.37475099920874,,,,3.41945004463196,127629000.0,1.54,,,
JPN,2013,34239.8862473683,2.0051001767726,102.255889892578,101.781173706055,62.8381881713867,3.40875005722046,127445000.0,2.15,,,
JPN,2014,34386.905855287,0.296205514142628,102.415283203125,101.813980102539,62.7269897460938,3.41529989242554,127276000.0,0.43,0.16,0.03,-0.18
JPN,2015,34960.6393843385,1.56062669674904,102.41911315918,102.200416564941,62.4726600646973,3.31221008300781,127141000.0,1.67,0.0,0.38,-0.41
JPN,2016,35242.1993771881,0.753826745903538,102.216911315918,101.167999267578,63.1872291564941,3.14643001556396,127076000.0,0.81,-0.2,-1.01,1.14
JPN,2017,35861.9728545838,1.67533175166503,102.254829406738,101.882888793945,62.4629783630371,3.13057994842529,126972000.0,1.76,0.04,0.71,-1.15
JPN,2018,36138.5290824719,0.643391023460339,102.099906921387,102.425148010254,62.2089385986328,3.07782006263733,126811000.0,0.77,-0.15,0.53,-0.41
JPN,2019,36043.7844013365,-0.402169200910933,102.652282714844,102.670066833496,62.1184997558594,3.15533995628357,126633000.0,-0.26,0.54,0.24,-0.15
JPN,2020,34650.7967802766,-4.14711889947692,102.736831665039,102.844802856445,62.1358413696289,3.30628991127014,126261000.0,-3.86,0.08,0.17,0.03
JPN,2021,35701.4542716142,2.55932023865617,102.218322753906,102.155380249023,63.1702690124512,3.33563995361328,125681593.0,3.03,-0.5,-0.67,1.66
JPN,2022,36202.639274898,0.954736937781391,102.158706665039,102.337966918945,64.6288299560547,3.23762130737305,125124989.0,1.4,-0.06,0.18,2.31
MEX,2000,9581.96970210753,5.02928399378261,109.118301391602,71.1195831298828,20.5259704589844,3.80870008468628,98625552.0,,,,
MEX,2001,9398.35074355724,-0.450845253215945,109.028007507324,72.8832092285156,21.3776397705078,4.0313401222229,100099099.0,-1.92,-0.08,2.48,4.15
MEX,2002,9242.27886130016,-0.236588001922641,109.220031738281,75.1482925415039,22.3153591156006,4.24307012557983,101548624.0,-1.66,0.18,3.11,4.39
